1,17
2,43
3,11
4,15
5,46
6,13
7,15
8,43
9,50
10,22
11,42
12,16
13,51
14,31
15,23
16,22
17,10
18,17
19,46
20,52
21,23
22,44
23,45
24,17
25,20
26,16
27,36
28,13
29,33
30,10
31,30
32,16
33,24
34,16
35,39
36,42
37,17
38,37
39,24
40,51
41,36
42,4
43,32
44,56
45,21
46,46
47,48
48,3
49,2
50,4
51,33
52,3
53,37
54,9
55,40
56,39
57,18
58,38
59,4
60,15
61,15
62,52
63,32
64,35
65,46
66,43
67,46
68,12
69,1
70,37
71,52
72,2
73,48
74,31
75,13
76,6
77,51
78,13
79,41
80,35
81,35
82,18
83,20
84,6
85,42
86,4
87,39
88,38
89,35
90,36
91,32
92,4
93,42
94,32
95,31
96,48
97,27
98,41
99,8
100,50
101,18
102,29
103,27
104,53
105,57
106,17
107,20
108,24
109,20
110,25
111,50
112,28
113,3
114,56
115,8
116,14
117,18
118,52
119,24
120,49
121,40
122,25
123,6
124,18
125,6
126,20
127,9
128,31
129,24
130,35
131,1
132,4
133,42
134,41
135,5
136,23
137,21
138,43
139,17
140,49
141,52
142,49
143,3
144,33
145,8
146,51
147,18
148,48
149,3
150,37
151,3
152,2
153,23
154,16
155,36
156,21
157,52
158,36
159,14
160,40
161,52
162,17
163,10
164,24
165,5
166,23
167,44
168,1
169,44
170,42
171,35
172,39
173,37
174,2
175,56
176,50
177,38
178,57
179,23
180,9
181,38
182,51
183,53
184,4
185,8
186,9
187,56
188,31
189,14
190,10
191,32
192,4
193,40
194,11
195,25
196,42
197,3
198,30
199,35
200,10
201,28
202,19
203,3
204,2
205,52
206,20
207,19
208,36
209,46
210,37
211,48
212,6
213,25
214,38
215,49
216,50
217,56
218,56
219,18
220,9
221,42
222,52
223,15
224,30
225,52
226,9
227,10
228,26
229,29
230,45
231,38
232,8
233,42
234,13
235,44
236,38
237,34
238,31
239,34
240,12
241,28
242,43
243,11
244,54
245,42
246,5
247,44
248,7
249,53
250,20
251,53
252,19
253,40
254,14
255,37
256,25
257,19
